"id","continent","name"
"us-west-2","US West","Oregon"
"il-central-1","Israel","Tel Aviv"
"ap-south-1","Asia Pacific","Mumbai"
"eu-north-1","Europe","Stockholm"
"us-east-2","US East","Ohio"
"us-east-1","US East","N. Virginia"
"me-south-1","Middle East","Bahrain"
"ap-east-1","Asia Pacific","Hong Kong"
"ap-northeast-3","Asia Pacific","Osaka"
"eu-south-2","Europe","Spain"
"ap-northeast-2","Asia Pacific","Seoul"
"us-west-1","US West","N. California"
"eu-west-1","Europe","Ireland"
"me-central-1","Middle East","UAE"
"ap-northeast-1","Asia Pacific","Tokyo"
"ap-south-2","Asia Pacific","Mumbai"
"ca-west-1","Canada West","Calgary"
"sa-east-1","South America","São Paulo"
"ap-southeast-1","Asia Pacific","Singapore"
"eu-south-1","Europe","Milan"
"ap-southeast-2","Asia Pacific","Sydney"
"eu-west-2","Europe","London"
"eu-west-3","Europe","Paris"
"eu-central-1","Europe","Frankfurt"
"eu-central-2","Europe","Zurich"
"ap-southeast-4","Asia Pacific","Melbourne"
"ca-central-1","Canada","Central"
"af-south-1","Africa","Cape Town"
"ap-southeast-3","Asia Pacific","Jakarta"
